File,Time,Colonies,FalsePos,FalseNeg,Method
LQ/LB_01.tif,25.917024612426758,10,10,58,w
LQ/LB_02.tif,11.318166255950928,106,0,10,w
LQ/LB_03.tif,24.17579746246338,101,5,7,w
LQ/LB_04.tif,39.44157958030701,1,1,80,w
LQ/LB_05.tif,18.751168489456177,4,4,56,w
LQ/LB_06.tif,13.72122859954834,310,2,300,w
LQ/LB_07.tif,4.147193670272827,649,0,300,w
LQ/LB_08.tif,8.649853944778442,3,3,9,w
LQ/LB_09.tif,6.0619730949401855,5,5,23,w
LQ/LB_10.tif,15.136341333389282,39,0,1,w
LQ/LB_11.tif,9.14798641204834,2,2,27,w
LQ/LB_12.tif,14.097874879837036,3,3,16,w
LQ/LB_13.tif,11.5485520362854,1,1,17,w
LQ/LB_14.tif,9.567447423934937,8,8,10,w
LQ/LB_15.tif,8.749448299407959,181,0,8,w
LQ/LB_16.tif,17.50115442276001,261,0,30,w
LQ/LB_17.tif,6.075084447860718,369,0,50,w
LQ/LB_18.tif,7.471431493759155,148,0,50,w
LQ/LB_19.tif,11.92507553100586,145,0,30,w
